route_id,service_id,trip_id,trip_headsign,direction_id,block_id
91-256,JAN17B-JANDA17-Weekday-17,44818143-JAN17B-JANDA17-Weekday-17,"Orléans",0,5272406
129-256,JAN17B-JANDA17-Weekday-17,44818144-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272110
104-256,JAN17B-JANDA17-Weekday-17,44818145-JAN17B-JANDA17-Weekday-17,"Carleton",1,5272740
144-256,JAN17B-JANDA17-Weekday-17,44818146-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271958
99-256,JAN17B-JANDA17-Weekday-17,44818148-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271958
99-256,JAN17B-JANDA17-Weekday-17,44818149-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271958
144-256,JAN17B-JANDA17-Weekday-17,44818151-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271958
144-256,JAN17B-JANDA17-Weekday-17,44818152-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271958
147-256,JAN17B-JANDA17-Weekday-17,44818153-JAN17B-JANDA17-Weekday-17,"Uplands South Keys",0,5272109
147-256,JAN17B-JANDA17-Weekday-17,44818154-JAN17B-JANDA17-Weekday-17,"Uplands South Keys",0,5272109
147-256,JAN17B-JANDA17-Weekday-17,44818155-JAN17B-JANDA17-Weekday-17,"Uplands South Keys",0,5272109
147-256,JAN17B-JANDA17-Weekday-17,44818156-JAN17B-JANDA17-Weekday-17,"Uplands South Keys",0,5272109
144-256,JAN17B-JANDA17-Weekday-17,44818157-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271958
87-256,JAN17B-JANDA17-Weekday-17,44818158-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271498
144-256,JAN17B-JANDA17-Weekday-17,44818159-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271498
144-256,JAN17B-JANDA17-Weekday-17,44818160-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271498
99-256,JAN17B-JANDA17-Weekday-17,44818161-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271819
99-256,JAN17B-JANDA17-Weekday-17,44818162-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271819
144-256,JAN17B-JANDA17-Weekday-17,44818164-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271819
144-256,JAN17B-JANDA17-Weekday-17,44818165-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271819
